업체명,지점명,성별전용,보증금,월세,인실
동네친구,4호점,여성전용,64만원,32만원,4인실
팸하우스,세종대점,여성전용,100만원,34만원,2인실
우리집,건대_세종대점,여성전용,100만원,52만원,2인실
원더우먼 쉐어하우스,건대점,여성전용,129만원,43만원,2인실
슬리퍼 쉐어하우스,대학동점,여성전용,94만원,42만원,1인실
품안의 새,스위티_서울대입구역 1인실 ImQ,여성전용,90만원,45만원,1인실
품안의 새,핏타팻_서울대입구역 Room ImH,여성전용,92만원,46만원,1인실
원더우먼 쉐어하우스,니케 하우스 Room C,여성전용,70만원,35만원,2인실
포그니 쉐어하우스,서울대입구역점,여성전용,100만원,35만원,2인실
잠자리,서울대입구(3) : 25호점,여성전용,96만원,48만원,1인실
슈니하우스,건대점,여성전용,50만원,32만원,2인실
쉐어하우스 이층집,신림역 1호점,여성전용,100만원,28만원,1인실
동네친구,10호점,남성전용,100만원,37만원,3인실
잠자리,신대방 : 6호점,남성전용,90만원,47만원,1인실
쉐어필링스,신대방역점,남성전용,74만원,37만원,2인실
동네친구,13호점,남성전용,100만원,41만원,2인실
모니카 하우스,광진1호점,여성전용,100만원,53만원,1인실
원더우먼 쉐어하우스,마망 하우스 Room C,여성전용,100만원,38만원,2인실
슬리퍼 쉐어하우스,건대점,여성전용,84만원,37만원,2인실
Calm&Mood,방배 23호점,여성전용,200만원,38만원,2인실
단미하우스,까치산역점,여성전용,62만원,31만원,2인실
율 하우스,서울대입구역점,여성전용,104만원,52만원,1인실
꼬므,대림역 : 1호점,여성전용,90만원,43만원,2인실
아이엠 쉐어하우스,서울대입구역점,여성전용,100만원,33만원,3인실
동네친구,6호점,여성전용,72만원,36만원,2인실
T house,방배점,남성전용,80만원,35만원,3인실
도란도란하우스,신대방점,여성전용,100만원,43만원,1인실
home 601,home601_강남 o룸,여성전용,1000만원,50만원,4인실
슈니하우스,건대3호점,여성전용,50만원,33만원,3인실
쉐어필링스,서울대입구역점,남성전용,200만원,48만원,1인실
자몽 셰어하우스,군자점,여성전용,300만원,38만원,1인실
카페인하우스,사가정역점,남성전용,76만원,38만원,2인실
카페인하우스,사가정역점,여성전용,96만원,48만원,1인실
품안의 새,나르샤_신림역 2인실,여성전용,90만원,45만원,2인실
하품 (하우스 꿈을 품다),1호점,여성전용,1000만원,59만원,1인실
원앤원하우스,건대_세종대점,여성전용,150만원,49만원,1인실
동네친구,9호점,여성전용,84만원,42만원,2인실
동네친구,7호점,여성전용,72만원,36만원,2인실
우주,83호점,여성전용,108만원,46만원,1인실
우주,82호점,남성전용,88만원,36만원,1인실
우주,84호점,여성전용,108만원,46만원,1인실
젤리 쉐어하우스,봉천점,여성전용,600만원,39만원,1인실
Little brown House,신림점,여성전용,60만원,37만원,2인실
(남성전용)라임 스페이스,역삼점,남성전용,50만원,52만원,1인실
MOVHOUSE,강남DELUXE점,여성전용,150만원,53만원,1인실
도란도란하우스,사당점,여성전용,100만원,45만원,1인실
잠자리,서울대입구 : 1호점,남성전용,84만원,42만원,2인실
팸하우스,건대 2호점,여성전용,100만원,43만원,2인실
팸하우스,건대 3호점,여성전용,100만원,40만원,2인실
이너프하우스,사당점,여성전용,100만원,50만원,1인실
오아시스 쉐어하우스,건대 2호점,여성전용,150만원,55만원,2인실
앤즈하우스,서울대입구역1 Room A,여성전용,100만원,50만원,1인실
잠자리,낙성대역 : 20호점,여성전용,94만원,47만원,1인실
동네친구,1호점,여성전용,80만원,40만원,2인실
동네친구,2호점,여성전용,70만원,35만원,2인실
동네친구,5호점,여성전용,72만원,36만원,3인실
No.1 쉐어하우스,삼성중앙역점,남성전용,60만원,33만원,3인실
젤리 쉐어하우스,역삼점,여성전용,600만원,31만원,2인실
휴애락,건대점,여성전용,150만원,53만원,1인실
Sharehouse Cine,루프탑 건대점,여성전용,70만원,34만원,4인실
쉐어하우스 까사,사당역 3호점,여성전용,100만원,40만원,2인실
쉐어하우스 까사,사당역 2호점,여성전용,100만원,37만원,2인실
잠자리,신대방 : 3호점,여성전용,66만원,33만원,2인실
편안한家 쉐어하우스,자양점,여성전용,100만원,36만원,2인실
핀휠 쉐어하우스,대림점,남성전용,80만원,31만원,3인실
팸하우스,건대 4호점,남성전용,100만원,38만원,1인실
팸하우스,건대 1호점,여성전용,100만원,38만원,2인실
Singles ( 싱글즈 ),강남하우스 A룸,여성전용,150만원,52만원,4인실
잠자리,구로디지털단지 : 12호점,여성전용,60만원,30만원,1인실
바다유,7호 서울대입구역점,여성전용,90만원,45만원,1인실
홈트리,신도림점,여성전용,60만원,33만원,2인실
양드레하우스,군자1호점,여성전용,100만원,48만원,1인실
Sally's House,강남 서초파라곤 A룸,여성전용,100만원,28만원,4인실
강남 베타쉐어하우스,강남역점,여성전용,100만원,33만원,4인실
Sally's House,강남역점,여성전용,100만원,38만원,3인실
복덕방,역삼2호점,여성전용,32만원,32만원,2인실
순 스테이,구로디지털단지 1호점,여성전용,90만원,40만원,1인실
순 스테이,구로디지털단지 2호점,여성전용,74만원,31만원,2인실
복덕방,역삼1호점,여성전용,42만원,42만원,1인실
동화,구디점,여성전용,100만원,33만원,2인실
달달 쉐어하우스,삼성중앙역점,여성전용,76만원,38만원,2인실
피리하우스,낙성대점,여성전용,72만원,36만원,2인실
잠자리,구로디지털단지 : 13호점,남성전용,70만원,35만원,2인실
바다유,2호 삼성중앙역점,여성전용,70만원,36만원,2인실
채움 쉐어하우스,강남역 2호점,여성전용,100만원,51만원,1인실
채움 쉐어하우스,교대/강남역 1호점,여성전용,80만원,29만원,4인실
우주,43호점,여성전용,106만원,45만원,2인실
오아시스 쉐어하우스,낙성대역 4호점,여성전용,150만원,29만원,4인실
오아시스 쉐어하우스,낙성대역 3호점,여성전용,150만원,28만원,4인실
오아시스 쉐어하우스,낙성대역점,여성전용,150만원,28만원,4인실
동네친구,11호점,여성전용,300만원,43만원,2인실
청청,구디역점,남성전용,110만원,55만원,1인실
슈니하우스,삼성중앙역점,여성전용,78만원,39만원,3인실
팸하우스,사당점,여성전용,100만원,41만원,2인실
잠자리,구로디지털단지 : 7호점,여성전용,80만원,40만원,2인실
벽난로 쉐어하우스,강남코엑스점,남성전용,80만원,40만원,2인실
가가호호 쉐어하우스,관악점,남성전용,70만원,33만원,2인실
자몽 셰어하우스,고척동점,여성전용,300만원,30만원,1인실
쉐어하우스 withsomething,역삼점,남성전용,180만원,65만원,1인실
레미하우스,강남점,여성전용,100만원,35만원,2인실
잠자리,신림 대학동 : 21호점,남성전용,74만원,37만원,1인실
복덕방,강남세브란스점,여성전용,100만원,53만원,1인실
복덕방,세브란스사거리점,여성전용,90만원,45만원,2인실
복덕방,대치동 선릉역점,여성전용,100만원,45만원,2인실
앤스테이블,대치 301-1호,남성전용,4000만원,47만원,1인실
쉐어필링스,선릉역지점,여성전용,100만원,44만원,1인실
팸하우스,가산디지털단지점,여성전용,100만원,35만원,2인실
팸하우스,매봉1호점,여성전용,100만원,45만원,1인실
팸하우스,매봉 2호점,여성전용,100만원,33만원,2인실
부천 이야기쉐어하우스,1호 고강점,남성전용,70만원,30만원,1인실
라다팰리스,사회적주택(개봉동) 202호-1,성별무관,300만원,29만원,1인실
Calm&Mood,온수 17호점,남성전용,100만원,44만원,1인실
부천 이야기쉐어하우스,2호 원종점,성별무관,70만원,35만원,1인실
모니카 하우스,잠실2호점,여성전용,100만원,53만원,1인실
썸앤썸 쉐어하우스,삼전점,남성전용,100만원,50만원,1인실
모니카 하우스,잠실역점,여성전용,100만원,55만원,1인실
로이허브,천호점,성별무관,60만원,60만원,1인실
모니카 하우스,잠실3호점,여성전용,100만원,46만원,1인실
바다,암사동집 : 1층 103호,여성전용,100만원,35만원,1인실
모던 하우스,암사역점,여성전용,200만원,34만원,1인실
바다,암사동집 : 2층 203호,여성전용,100만원,37만원,1인실
모던 하우스,천호점,여성전용,200만원,32만원,1인실
모니카 하우스,잠실4호점,여성전용,100만원,60만원,1인실
몽리(MONLIT),석촌점,여성전용,100만원,50만원,1인실
원앤원하우스,강동역 2호점,여성전용,200만원,31만원,2인실
Sharehouse Cine,오금역점,여성전용,80만원,36만원,2인실
함께꿈꾸는마을,송파문정마을 ROOM B,여성전용,78만원,39만원,2인실
쉐어하우스 cloud9,킨텍스 대화역점,성별무관,150만원,40만원,1인실
Blessing House,대화 킨텍스점,여성전용,70만원,35만원,2인실
쉐어하우스 잎,부천역점,성별무관,70만원,35만원,1인실
플래닛디 하우스,플래닛디 하우스 1인실,여성전용,80만원,40만원,1인실
공감,부평 굴포천역 2호점,여성전용,50만원,23만원,1인실
공감,부평시장역점,여성전용,50만원,23만원,1인실
로라 쉐어하우스,부평구청역점,여성전용,80만원,32만원,1인실
로라 쉐어하우스,부평시장역점,여성전용,80만원,33만원,1인실
레몬트리 하우스,간석오거리점,여성전용,50만원,27만원,2인실
잠자리,주안역 : 18호점,여성전용,70만원,35만원,1인실
쉐어하우스 봄,주안 1호점,여성전용,84만원,37만원,1인실
베프 쉐어하우스,주안역점,여성전용,50만원,25만원,2인실
레몬,1호점,여성전용,60만원,30만원,2인실
인타운 하우스,인천대점,여성전용,100만원,30만원,1인실
세계로 하우스,종로부암점,성별무관,60만원,65만원,2인실
다락,홍오하우스 Room A,성별무관,50만원,39만원,1인실
우주,89호점,여성전용,96만원,40만원,2인실
다락,홍원하우스 Room D,성별무관,50만원,39만원,1인실
Calm&Mood,홍제 18호점,여성전용,100만원,44만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
블랑 쉐어하우스,응암점,여성전용,80만원,35만원,2인실
Calm&Mood,DMC(구산) 22호점,여성전용,200만원,54만원,1인실
플레몬 쉐어하우스,29호점,성별무관,50만원,52만원,1인실
동거동락,33A호점,남성전용,105만원,44만원,1인실
따또 쉐어하우스,연희점,여성전용,100만원,54만원,1인실
자몽 셰어하우스,한성대성북점,남성전용,100만원,30만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,112만원,56만원,1인실
위아영 쉐어하우스,아현점,여성전용,100만원,50만원,1인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
Calm&Mood,연희 1호점,여성전용,100만원,33만원,2인실
플레몬 쉐어하우스,13호점,성별무관,50만원,30만원,2인실
UrbanShares,OneNam206 N3,성별무관,100만원,63만원,1인실
UrbanShares,1stHQ HQ503,성별무관,100만원,75만원,1인실
마주봄 쉐어하우스,혜화 6호점,여성전용,100만원,52만원,1인실
바다,연남동 : 1호 E Room,여성전용,110만원,55만원,1인실
우주,50호점,여성전용,95만원,39만원,2인실
서로가 쉐어하우스,충정로점,여성전용,50만원,45만원,2인실
Calm&Mood,혜화 20호점,여성전용,100만원,35만원,2인실
자몽 셰어하우스,대학로점,여성전용,300만원,32만원,2인실
쉐어하우스 보통,아현점,여성전용,106만원,53만원,1인실
세이프헤븐,DMC점,여성전용,100만원,39만원,1인실
에덴 하우스,홍대점,여성전용,60만원,30만원,3인실
다락,허밍하우스 큰1인실,성별무관,50만원,43만원,1인실
굿밤하우스,홍대입구점,성별무관,10만원,45만원,1인실
프렌즈,연남점,여성전용,90만원,48만원,2인실
우주,94호점,남성전용,102만원,43만원,1인실
우주,93호점,여성전용,104만원,44만원,1인실
우주,95호점,여성전용,104만원,44만원,1인실
커먼타운,센트럴 261 407,여성전용,300만원,55만원,1인실
우주,62호점,여성전용,120만원,52만원,1인실
핀휠 쉐어하우스,신촌점,여성전용,90만원,43만원,1인실
코방,길음역점,여성전용,110만원,48만원,1인실
호영이네 하우스,창신역점,여성전용,80만원,38만원,3인실
하늘,수유역2호점,여성전용,50만원,42만원,1인실
우주,12호점,여성전용,111만원,48만원,1인실
오희,고양점,여성전용,100만원,30만원,3인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
하모하우스,서강대점,여성전용,100만원,35만원,3인실
은행나무 쉐어하우스,홍대점,여성전용,0만원,40만원,2인실
Calm&Mood,숙대두번째 16호점,여성전용,100만원,45만원,1인실
홈스케치,숙대점,여성전용,80만원,40만원,1인실
